category,date_time,headline,link
entertainment," July 17, 2020  8:32:12 am",Kabir Khan decodes Bajrangi Bhaijaan’s popularity on its fifth anniversary,https://indianexpress.com/article/entertainment/bollywood/kabir-khan-bajrangi-bhaijaan-fifth-anniversary-6509416/
entertainment," July 16, 2020  10:09:59 pm","10 years of Udaan: Vikramaditya Motwane, Rajat Barmecha look back on the ‘special’ film",https://indianexpress.com/article/entertainment/bollywood/10-years-of-udaan-vikramaditya-motwane-rajat-barmecha-look-back-on-the-special-film-6509398/
entertainment," July 16, 2020  8:01:53 pm",Richa Chadha: The Hindi film industry is only divided between kind and unkind people,https://indianexpress.com/article/entertainment/bollywood/richa-chadha-the-hindi-film-industry-is-only-divided-between-kind-and-unkind-people-6509293/
entertainment," July 17, 2020  10:54:34 am",Law director Raghu Samarth: I wanted to make a film with a strong female protagonist,https://indianexpress.com/article/entertainment/regional/law-director-raghu-samarth-puneeth-rajkumar-6509147/
entertainment," July 16, 2020  7:28:39 pm","Katrina Kaif turns 37: Salman Khan, Alia Bhatt and others wish the Sooryavanshi actor",https://indianexpress.com/article/entertainment/bollywood/katrina-kaif-birthday-37-salman-khan-alia-bhatt-6508810/
entertainment," July 16, 2020  7:15:04 pm",Madhavan encourages students by revealing his board exam results,https://indianexpress.com/article/entertainment/bollywood/madhavan-encourages-students-by-revealing-his-board-exam-results-6508774/
entertainment," July 16, 2020  5:25:19 pm",Nivin Pauly on completing 10 years in films: It was a journey filled with emotions,https://indianexpress.com/article/entertainment/malayalam/nivin-pauly-on-completing-10-years-in-films-emotional-note-gratitude-6508853/
entertainment," July 16, 2020  5:46:30 pm",Rhea Chakraborty requests Amit Shah for CBI inquiry into Sushant Singh Rajput’s death,https://indianexpress.com/article/entertainment/bollywood/sushant-singh-rajput-rhea-chakraborty-amit-shah-6508876/
entertainment," July 16, 2020  5:52:47 pm",French Biriyani trailer: Puneeth Rajkumar-Danish Sait promise a laugh riot,https://indianexpress.com/article/entertainment/regional/french-biriyani-trailer-danish-sait-6508566/
entertainment," July 17, 2020  1:20:14 pm",Hilarious drama-comedy served hot & breaking stereotypes: ‘Virgin Bhanupriya’ on ZEE5 tops the list of ‘comedy’ movies with a plot brimming with laughs,https://indianexpress.com/article/entertainment/sponsored-entertainment/hilarious-dramedy-served-hot-breaking-stereotypes-virgin-bhanupriya-on-zee5-tops-the-list-comedy-movies-with-a-plot-brimming-with-laughs/
entertainment," July 16, 2020  2:32:01 pm",Tom Hanks recounts coronavirus ordeal: My bones felt like they were made of soda crackers,https://indianexpress.com/article/entertainment/hollywood/tom-hanks-recounts-coronavirus-ordeal-6508718/
entertainment," July 16, 2020  2:10:51 pm",Lootcase trailer: Kunal Kemmu and Co. chase a red suitcase full of money,https://indianexpress.com/article/entertainment/bollywood/lootcase-trailer-kunal-kemm-6507216/
entertainment," July 16, 2020  4:22:23 pm",Project Power trailer promises summer blockbuster-level action,https://indianexpress.com/article/entertainment/web-series/project-power-trailer-jamie-foxx-joseph-gordon-levitt-6508672/
entertainment," July 16, 2020  1:21:33 pm",Nawazuddin Siddiqui starrer Serious Men to release on Netflix,https://indianexpress.com/article/entertainment/bollywood/serious-men-netflix-6508246/
entertainment," July 16, 2020  1:20:04 pm",Rhea Chakraborty to online abuser: How does my silence give you the right to tell me you will get me raped and murdered?,https://indianexpress.com/article/entertainment/bollywood/rhea-chakraborty-receives-rape-death-threat-sushant-singh-rajput-6508537/
entertainment," July 16, 2020  12:59:32 pm",Radhika Apte and Nawazuddin Siddiqui starrer Raat Akeli Hai to release on Netflix,https://indianexpress.com/article/entertainment/bollywood/raat-akeli-hai-netflix-6507439/
entertainment," July 16, 2020  12:25:55 pm",Abhishek Bachchan and Rajkummar Rao starrer Ludo to release on Netflix,https://indianexpress.com/article/entertainment/bollywood/anurag-basu-ludo-netflix-6410748/
entertainment," July 16, 2020  12:26:45 pm",Ginny Weds Sunny: Yami Gautam-Vikrant Massey starrer to release on Netflix,https://indianexpress.com/article/entertainment/bollywood/ginny-weds-sunny-netflix-release-6507523/
entertainment," July 16, 2020  12:04:53 pm",Masaba Masaba to release on Netflix,https://indianexpress.com/article/entertainment/web-series/masaba-masaba-to-release-on-netflix-6508174/
entertainment," July 16, 2020  12:01:12 pm",Sanjay Dutt starrer Torbaaz to release on Netflix,https://indianexpress.com/article/entertainment/bollywood/torbaaz-netflix-release-date-6508188/
entertainment," July 16, 2020  11:29:35 am",A Suitable Boy to release on Netflix in India,https://indianexpress.com/article/entertainment/web-series/a-suitable-boy-to-release-on-netflix-6508204/
entertainment," July 16, 2020  11:20:04 am",Dolly Kitty Aur Woh Chamakte Sitare to release on Netflix,https://indianexpress.com/article/entertainment/bollywood/dolly-kitty-aur-woh-chamakte-sitare-netflix-6507367/
entertainment," July 16, 2020  11:14:05 am",Web series Bombay Begums to stream on Netflix,https://indianexpress.com/article/entertainment/web-series/bombay-begums-netflix-6508167/
entertainment," July 16, 2020  10:58:47 am",Swara Bhasker series Bhaag Beanie Bhaag to release on Netflix,https://indianexpress.com/article/entertainment/web-series/swara-bhasker-bhaag-beanie-bhaag-netflix-6508202/
entertainment," July 16, 2020  10:53:32 am",AK vs AK: Anil Kapoor-Anurag Kashyap film to release on Netflix,https://indianexpress.com/article/entertainment/bollywood/ak-vs-ak-anil-kapoor-anurag-kashyap-netflix-6507470/
entertainment," July 16, 2020  10:45:56 am",Kajol starrer Tribhanga to release on Netflix,https://indianexpress.com/article/entertainment/bollywood/tribhanga-netflix-kajol-6507383/
