category,date_time,headline,link
sports," June 5, 2020  12:23:32 pm","Gareth Bale could finish career at Real Madrid, says agent",https://indianexpress.com/article/sports/football/gareth-bale-could-finish-career-at-real-madrid-says-agent-6443734/
sports," June 5, 2020  12:15:47 pm",ICC should wait for a suitable time to host T20 World Cup: Wasim Akram,https://indianexpress.com/article/sports/cricket/wasim-akram-icc-should-wait-t20-world-cup-coronavirus-outbreak-6443718/
sports," June 5, 2020  9:10:46 pm",Cristiano Ronaldo: Football’s first billion dollar man,https://indianexpress.com/article/sports/football/cristiano-ronaldo-trumps-lionel-messi-to-become-first-billion-dollar-man-in-football-history-6443678/
lifestyle," May 31, 2020  11:34:17 am",Have you tried the lockdown recipe Parmal ki Kadi?,https://indianexpress.com/article/lifestyle/food-wine/have-you-tried-the-lockdown-recipe-parmal-ki-kadi-6435454/
lifestyle," May 31, 2020  9:59:06 am",World No Tobacco Day: Why this lockdown is the best time to quit tobacco,https://indianexpress.com/article/lifestyle/health/world-no-tobacco-day-lockdown-covid19-pandemic-quit-tobacco-6434722/
lifestyle," June 1, 2020  6:36:06 pm",This homemade mask will come to your rescue if you are worried about pigmentation and blemishes,https://indianexpress.com/article/lifestyle/life-style/this-homemade-mask-will-help-you-beat-pigmentation-and-blemishes-6431372/
lifestyle," June 2, 2020  1:02:17 pm",Worried about infertility? Here are some common causes,https://indianexpress.com/article/lifestyle/health/factors-that-can-affect-fertility-6434540/
lifestyle," May 30, 2020  8:45:20 pm",Are your hibiscus leaves turning yellow? Try these tricks,https://indianexpress.com/article/lifestyle/life-style/is-your-hibiscus-leaves-turning-yellow-try-this-trick-6434755/
lifestyle," May 30, 2020  8:15:15 pm","Post-lockdown, here are some safety measures for salons and spas to adopt",https://indianexpress.com/article/lifestyle/life-style/safety-measures-beauty-salons-spas-post-lockdown-pandemic-hygiene-6433092/
lifestyle," June 2, 2020  2:22:35 pm",Here is how alkaline water boosts immunity,https://indianexpress.com/article/lifestyle/health/how-does-alkaline-water-boost-immunity-6434570/
lifestyle," May 30, 2020  7:40:39 pm","Goa’s Guru, architect Sarto Almeida passes away",https://indianexpress.com/article/lifestyle/life-style/goas-guru-architect-sarto-almeida-passes-away-6434796/
lifestyle," June 1, 2020  6:38:19 pm",Try these peanut butter cookies with just 3 ingredients; check out the recipe here,https://indianexpress.com/article/lifestyle/food-wine/want-to-have-peanut-butter-cookies-no-flour-3-ingredients-6421078/
lifestyle," May 30, 2020  10:41:49 pm",The Back Burner: Make this delicious coconut chutney powder from Kerala,https://indianexpress.com/article/lifestyle/food-wine/the-back-burner-make-this-delicious-coconut-chutney-powder-from-kerala-chammanthi-podi-recipe-6434483/
lifestyle," May 30, 2020  6:26:46 pm",Tips for patients suffering from hernia,https://indianexpress.com/article/lifestyle/health/tips-for-patients-suffering-hernia-6434509/
lifestyle," June 5, 2020  5:03:31 pm",The journey of Covid face masks: From boring monotones to stylish and designer,https://indianexpress.com/article/lifestyle/fashion/journey-of-cotton-face-masks-designer-printed-coronavirus-fashion-statement-covid-19-6430006/
lifestyle," May 30, 2020  5:15:31 pm",Try this one pot noodle soup recipe for a quick and filling meal,https://indianexpress.com/article/lifestyle/food-wine/one-pot-noodle-soup-recipe-easy-meal-anahita-dhondy-thukpa-6430870/
lifestyle," May 30, 2020  4:05:00 pm",Locust attack: Tips to protect kitchen gardens from the insects,https://indianexpress.com/article/lifestyle/life-style/locust-attack-tips-to-protect-kitchen-gardens-6434457/
lifestyle," June 4, 2020  7:17:55 pm",Covid-19 and reproductive health: Follow these easy tips to stay safe,https://indianexpress.com/article/lifestyle/health/reproductive-health-covid19-coronavirus-pcos-6426894/
lifestyle," June 8, 2020  2:37:08 pm",Untouchable: Harvey Weinstein documentary holds the system responsible for enabling abuse,https://indianexpress.com/article/lifestyle/art-and-culture/untouchable-documentary-harvey-weinstein-netflix-6434453/
lifestyle," May 30, 2020  4:02:34 pm",Five landmark works by India’s foremost sculptor Ramkinkar Baij,https://indianexpress.com/article/lifestyle/art-and-culture/five-landmark-works-by-india-foremost-sculptor-ramkinkar-baij-6434287/
lifestyle," May 30, 2020  3:00:16 pm","Delhi govt releases video on home isolation process, precautions",https://indianexpress.com/article/lifestyle/health/delhi-govt-releases-video-on-home-isolation-process-precautions-6434224/
